recipe_id,recipe_name,servings,prep_time,difficulty_level,seasonality,ingredient_name,quantity,unit,necessity_level,substitution
6,دجاج مكسيكي,4,قليل,مبتدئ,مدار السنة,فليفلة ملونة,450,غرام,اختياري,
6,دجاج مكسيكي,4,قليل,مبتدئ,مدار السنة,بصل,150,غرام,اختياري,
6,دجاج مكسيكي,4,قليل,مبتدئ,مدار السنة,بهارات,8,غرام,إلزامي,
6,دجاج مكسيكي,4,قليل,مبتدئ,مدار السنة,جبنة قشقوان,200,غرام,اختياري,
7,بامية,4,متوسط,متوسط,الصيف,بامية,500,غرام,إلزامي,
7,بامية,4,متوسط,متوسط,الصيف,لحم مفروم,200,غرام,اختياري,لحم مقطع
7,بامية,4,متوسط,متوسط,الصيف,معجون بندورة,30,غرام,إلزامي,
7,بامية,4,متوسط,متوسط,الصيف,ثوم,20,غرام,اختياري,
7,بامية,4,متوسط,متوسط,الصيف,كزبرة خضرا,25,غرام,اختياري,
7,بامية,4,متوسط,متوسط,الصيف,رز,400,غرام,إلزامي,
7,بامية,4,متوسط,متوسط,الصيف,شعيرية,50,غرام,إلزامي,
8,فاصوليا بمرقة,4,متوسط,متوسط,الصيف,فاصوليا خضرا,500,غرام,إلزامي,
8,فاصوليا بمرقة,4,متوسط,متوسط,الصيف,لحم مفروم,200,غرام,اختياري,لحم مقطع
8,فاصوليا بمرقة,4,متوسط,متوسط,الصيف,معجون بندورة,30,غرام,إلزامي,
8,فاصوليا بمرقة,4,متوسط,متوسط,الصيف,ثوم,20,غرام,اختياري,
8,فاصوليا بمرقة,4,متوسط,متوسط,الصيف,رز,400,غرام,إلزامي,
8,فاصوليا بمرقة,4,متوسط,متوسط,الصيف,شعيرية,50,غرام,إلزامي,
8,فاصوليا بمرقة,4,متوسط,متوسط,الصيف,كزبرة خضرا,50,غرام,اختياري,
9,فاصوليا بزيت,4,قليل,مبتدئ,الصيف,فاصوليا خضرا,500,غرام,إلزامي,
9,فاصوليا بزيت,4,قليل,مبتدئ,الصيف,زيت زيتون,100,غرام,إلزامي,
9,فاصوليا بزيت,4,قليل,مبتدئ,الصيف,بندورة,300,غرام,إلزامي,
9,فاصوليا بزيت,4,قليل,مبتدئ,الصيف,كزبرة خضرا,25,غرام,اختياري,
9,فاصوليا بزيت,4,قليل,مبتدئ,الصيف,معجون بندورة,15,غرام,إلزامي,
9,فاصوليا بزيت,4,قليل,مبتدئ,الصيف,ثوم,20,غرام,اختياري,
10,فول أخضر بالزيت (مقلى),4,قليل,مبتدئ,الربيع,فول أخضر,1000,غرام,إلزامي,
10,فول أخضر بالزيت (مقلى),4,قليل,مبتدئ,الربيع,زيت زيتون,100,غرام,إلزامي,
10,فول أخضر بالزيت (مقلى),4,قليل,مبتدئ,الربيع,كزبرة خضرا,50,غرام,اختياري,
10,فول أخضر بالزيت (مقلى),4,قليل,مبتدئ,الربيع,ثوم,20,غرام,اختياري,
11,رز بفول,4,قليل,مبتدئ,الربيع,فول أخضر,500,غرام,إلزامي,
11,رز بفول,4,قليل,مبتدئ,الربيع,رز,400,غرام,إلزامي,
11,رز بفول,4,قليل,مبتدئ,الربيع,لحم مفروم,200,غرام,اختياري,
11,رز بفول,4,قليل,مبتدئ,الربيع,مكسرات,50,غرام,اختياري,
12,رز ببزاليا,4,قليل,مبتدئ,الربيع,بزاليا,500,غرام,إلزامي,
12,رز ببزاليا,4,قليل,مبتدئ,الربيع,رز,400,غرام,إلزامي,
12,رز ببزاليا,4,قليل,مبتدئ,الربيع,لحم مفروم,200,غرام,اختياري,
12,رز ببزاليا,4,قليل,مبتدئ,الربيع,مكسرات,50,غرام,اختياري,
13,فاصوليا كلاوي,4,متوسط,مبتدئ,الخريف,فاصوليا كلاوي,500,غرام,إلزامي,
13,فاصوليا كلاوي,4,متوسط,مبتدئ,الخريف,لحم مفروم,200,غرام,اختياري,لحم مقطع
13,فاصوليا كلاوي,4,متوسط,مبتدئ,الخريف,معجون بندورة,30,غرام,إلزامي,
13,فاصوليا كلاوي,4,متوسط,مبتدئ,الخريف,رز,400,غرام,إلزامي,
13,فاصوليا كلاوي,4,متوسط,مبتدئ,الخريف,شعيرية,50,غرام,إلزامي,
14,مفركة بطاطا,4,قليل,مبتدئ,مدار السنة,بطاطا,1000,غرام,إلزامي,
14,مفركة بطاطا,4,قليل,مبتدئ,مدار السنة,بصل,300,غرام,اختياري,
14,مفركة بطاطا,4,قليل,مبتدئ,مدار السنة,لحم مفروم,300,غرام,إلزامي,
14,مفركة بطاطا,4,قليل,مبتدئ,مدار السنة,ليمون,100,غرام,اختياري,
15,مفركة فول,4,قليل,مبتدئ,الربيع,فول أخضر,1000,غرام,إلزامي,
15,مفركة فول,4,قليل,مبتدئ,الربيع,لحم مفروم,300,غرام,إلزامي,
16,مفركة كوسا,4,قليل,مبتدئ,الصيف,كوسا,1000,غرام,إلزامي,
16,مفركة كوسا,4,قليل,مبتدئ,الصيف,لحم مفروم,300,غرام,إلزامي,
16,مفركة كوسا,4,قليل,مبتدئ,الصيف,بصل,150,غرام,اختياري,
17,محاشي,4,طويل,محترف,الصيف,كوسا,2000,غرام,إلزامي,
17,محاشي,4,طويل,محترف,الصيف,رز,300,غرام,إلزامي,
17,محاشي,4,طويل,محترف,الصيف,لحم مفروم,400,غرام,إلزامي,
17,محاشي,4,طويل,محترف,الصيف,ثوم,20,غرام,اختياري,
17,محاشي,4,طويل,محترف,الصيف,معجون بندورة,30,غرام,إلزامي,
17,محاشي,4,طويل,محترف,الصيف,بهارات,8,غرام,إلزامي,
18,يبرق,4,طويل,محترف,الصيف,ورق عنب,500,غرام,إلزامي,
18,يبرق,4,طويل,محترف,الصيف,رز,400,غرام,إلزامي,
18,يبرق,4,طويل,محترف,الصيف,لحم مفروم,400,غرام,إلزامي,
18,يبرق,4,طويل,محترف,الصيف,ثوم,80,غرام,اختياري,
18,يبرق,4,طويل,محترف,الصيف,لحم مقطع,500,غرام,إلزامي,
19,يخنه ملفوف,4,طويل,محترف,الشتاء,ملفوف,1000,غرام,إلزامي,
19,يخنه ملفوف,4,طويل,محترف,الشتاء,لحم مفروم,400,غرام,إلزامي,
19,يخنه ملفوف,4,طويل,محترف,الشتاء,رز,400,غرام,إلزامي,
19,يخنه ملفوف,4,طويل,محترف,الشتاء,ثوم,20,غرام,اختياري,
19,يخنه ملفوف,4,طويل,محترف,الشتاء,معجون بندورة,45,غرام,اختياري,
20,بزاليا وجزر,4,قليل,مبتدئ,الربيع,بزاليا,350,غرام,إلزامي,
20,بزاليا وجزر,4,قليل,مبتدئ,الربيع,جزر,350,غرام,إلزامي,
20,بزاليا وجزر,4,قليل,مبتدئ,الربيع,لحم مفروم,200,غرام,اختياري,لحم مقطع
20,بزاليا وجزر,4,قليل,مبتدئ,الربيع,معجون بندورة,30,غرام,إلزامي,
20,بزاليا وجزر,4,قليل,مبتدئ,الربيع,رز,400,غرام,إلزامي,
20,بزاليا وجزر,4,قليل,مبتدئ,الربيع,شعيرية,50,غرام,إلزامي,
21,كباب هندي,4,متوسط,متوسط,الصيف,لحم ناعم,1000,غرام,إلزامي,
21,كباب هندي,4,متوسط,متوسط,الصيف,بصل,300,غرام,اختياري,
21,كباب هندي,4,متوسط,متوسط,الصيف,بندورة,1000,غرام,إلزامي,
21,كباب هندي,4,متوسط,متوسط,الصيف,فليفلة خضرا,450,غرام,اختياري,
21,كباب هندي,4,متوسط,متوسط,الصيف,رز,200,غرام,إلزامي,
21,كباب هندي,4,متوسط,متوسط,الصيف,شعيرية,50,غرام,إلزامي,
22,كوسا بلبن,4,طويل,محترف,الصيف,كوسا,1500,غرام,إلزامي,
22,كوسا بلبن,4,طويل,محترف,الصيف,لحم مفروم,600,غرام,إلزامي,
22,كوسا بلبن,4,طويل,محترف,الصيف,لبن,2000,غرام,إلزامي,
22,كوسا بلبن,4,طويل,محترف,الصيف,نشاء الذرة,32,غرام,إلزامي,
22,كوسا بلبن,4,طويل,محترف,الصيف,رز,400,غرام,إلزامي,
22,كوسا بلبن,4,طويل,محترف,الصيف,شعيرية,50,غرام,إلزامي,
23,كبة لبنية,4,طويل,محترف,مدار السنة,برغل ناعم,500,غرام,إلزامي,
23,كبة لبنية,4,طويل,محترف,مدار السنة,لحم مفروم,500,غرام,إلزامي,
23,كبة لبنية,4,طويل,محترف,مدار السنة,لبن,1500,غرام,إلزامي,
23,كبة لبنية,4,طويل,محترف,مدار السنة,بصل,300,غرام,إلزامي,
23,كبة لبنية,4,طويل,محترف,مدار السنة,مكسرات,60,غرام,اختياري,
24,شيش برك,4,طويل,محترف,مدار السنة,طحين,250,غرام,إلزامي,
24,شيش برك,4,طويل,محترف,مدار السنة,لحم مفروم,700,غرام,إلزامي,
24,شيش برك,4,طويل,محترف,مدار السنة,بصل,150,غرام,اختياري,
24,شيش برك,4,طويل,محترف,مدار السنة,لبن,2000,غرام,إلزامي,
24,شيش برك,4,طويل,محترف,مدار السنة,رز,400,غرام,إلزامي,
24,شيش برك,4,طويل,محترف,مدار السنة,شعيرية,50,غرام,إلزامي,
25,بطاطا بالفرن,4,قليل,متوسط,مدار السنة,بطاطا,1000,غرام,إلزامي,
25,بطاطا بالفرن,4,قليل,متوسط,مدار السنة,بهارات,16,غرام,إلزامي,
25,بطاطا بالفرن,4,قليل,متوسط,مدار السنة,بصل,150,غرام,اختياري,
26,سكالوب,4,متوسط,متوسط,مدار السنة,شرحات دجاج,1000,غرام,إلزامي,
26,سكالوب,4,متوسط,متوسط,مدار السنة,بهارات,16,غرام,إلزامي,
26,سكالوب,4,متوسط,متوسط,مدار السنة,طحين,125,غرام,إلزامي,
26,سكالوب,4,متوسط,متوسط,مدار السنة,بيض,2,حبة,إلزامي,
26,سكالوب,4,متوسط,متوسط,مدار السنة,كعك ناعم,150,غرام,إلزامي,
26,سكالوب,4,متوسط,متوسط,مدار السنة,خبز سمون,400,غرام,اختياري,
26,سكالوب,4,متوسط,متوسط,مدار السنة,زيت نباتي,1000,غرام,إلزامي,
27,طباخ روحو,4,متوسط,مبتدئ,الصيف,بندورة,500,غرام,إلزامي,
27,طباخ روحو,4,متوسط,مبتدئ,الصيف,كوسا,300,غرام,إلزامي,
27,طباخ روحو,4,متوسط,مبتدئ,الصيف,بيتنجان,300,غرام,إلزامي,
27,طباخ روحو,4,متوسط,مبتدئ,الصيف,بصل,150,غرام,اختياري,
27,طباخ روحو,4,متوسط,مبتدئ,الصيف,لحم مفروم,200,غرام,اختياري,
27,طباخ روحو,4,متوسط,مبتدئ,الصيف,ثوم,8,غرام,اختياري,
27,طباخ روحو,4,متوسط,مبتدئ,الصيف,برغل,400,غرام,إلزامي,
27,طباخ روحو,4,متوسط,مبتدئ,الصيف,شعيرية,50,غرام,إلزامي,
28,مطجن,4,طويل,متوسط,مدار السنة,سودة غنم,1000,غرام,إلزامي,
28,مطجن,4,طويل,متوسط,مدار السنة,كزبرة خضرا,50,غرام,إلزامي,
28,مطجن,4,طويل,متوسط,مدار السنة,بصل,150,غرام,اختياري,
28,مطجن,4,طويل,متوسط,مدار السنة,زيت زيتون,100,غرام,إلزامي,
28,مطجن,4,طويل,متوسط,مدار السنة,ثوم,12,غرام,اختياري,
28,مطجن,4,طويل,متوسط,مدار السنة,ليمون,100,غرام,اختياري,
29,برغل ببندورة,4,قليل,مبتدئ,الصيف,برغل,400,غرام,إلزامي,
29,برغل ببندورة,4,قليل,مبتدئ,الصيف,بندورة,500,غرام,إلزامي,
29,برغل ببندورة,4,قليل,مبتدئ,الصيف,بصل,150,غرام,اختياري,
29,برغل ببندورة,4,قليل,مبتدئ,الصيف,فليفلة خضرا,150,غرام,اختياري,
29,برغل ببندورة,4,قليل,مبتدئ,الصيف,معجون بندورة,15,غرام,اختياري,
30,تسقية بالبدوة,4,قليل,مبتدئ,مدار السنة,حمص,1000,غرام,إلزامي,
30,تسقية بالبدوة,4,قليل,مبتدئ,مدار السنة,خبز,100,غرام,إلزامي,
30,تسقية بالبدوة,4,قليل,مبتدئ,مدار السنة,بهارات,8,غرام,إلزامي,
30,تسقية بالبدوة,4,قليل,مبتدئ,مدار السنة,لبن,200,غرام,اختياري,
30,تسقية بالبدوة,4,قليل,مبتدئ,مدار السنة,مسبحة,500,غرام,إلزامي,
30,تسقية بالبدوة,4,قليل,مبتدئ,مدار السنة,مكسرات,50,غرام,اختياري,
30,تسقية بالبدوة,4,قليل,مبتدئ,مدار السنة,سمنة,100,غرام,إلزامي,
30,تسقية بالبدوة,4,قليل,مبتدئ,مدار السنة,ثوم,12,غرام,اختياري,
31,شوربة خضار,4,قليل,متوسط,الصيف,بصل,150,غرام,اختياري,
31,شوربة خضار,4,قليل,متوسط,الصيف,جزر,500,غرام,إلزامي,
31,شوربة خضار,4,قليل,متوسط,الصيف,بطاطا,500,غرام,إلزامي,
31,شوربة خضار,4,قليل,متوسط,الصيف,ثوم,16,غرام,اختياري,
31,شوربة خضار,4,قليل,متوسط,الصيف,ليمون,200,غرام,اختياري,حمض الليمون
32,شرحات على عجين,4,متوسط,متوسط,مدار السنة,طحين,500,غرام,إلزامي,عجينة
32,شرحات على عجين,4,متوسط,متوسط,مدار السنة,شرحات لحم,500,غرام,إلزامي,
32,شرحات على عجين,4,متوسط,متوسط,مدار السنة,بهارات,16,غرام,إلزامي,
33,يالنجي,4,طويل,محترف,الصيف,ورق عنب,500,غرام,إلزامي,
33,يالنجي,4,طويل,محترف,الصيف,رز,300,غرام,إلزامي,
33,يالنجي,4,طويل,محترف,الصيف,بصل,150,غرام,إلزامي,
33,يالنجي,4,طويل,محترف,الصيف,بندورة,200,غرام,إلزامي,
33,يالنجي,4,طويل,محترف,الصيف,بقدونس,50,غرام,إلزامي,
33,يالنجي,4,طويل,محترف,الصيف,نعنع,25,غرام,إلزامي,
33,يالنجي,4,طويل,محترف,الصيف,زيت زيتون,100,غرام,إلزامي,
33,يالنجي,4,طويل,محترف,الصيف,دبس رمان,60,غرام,إلزامي,
34,فلافل,4,متوسط,مبتدئ,مدار السنة,حمص,400,غرام,إلزامي,
34,فلافل,4,متوسط,مبتدئ,مدار السنة,بصل,150,غرام,إلزامي,
34,فلافل,4,متوسط,مبتدئ,مدار السنة,بقدونس,25,غرام,اختياري,
34,فلافل,4,متوسط,مبتدئ,مدار السنة,كزبرة خضرا,15,غرام,اختياري,
34,فلافل,4,متوسط,مبتدئ,مدار السنة,كربونة,4,غرام,اختياري,
34,فلافل,4,متوسط,مبتدئ,مدار السنة,بهارات,16,غرام,إلزامي,
35,سندويش بطاطا,4,قليل,مبتدئ,مدار السنة,بطاطا,800,غرام,إلزامي,
35,سندويش بطاطا,4,قليل,مبتدئ,مدار السنة,خبز سمون,400,غرام,اختياري,
35,سندويش بطاطا,4,قليل,مبتدئ,مدار السنة,مايونيز,80,غرام,إلزامي,
35,سندويش بطاطا,4,قليل,مبتدئ,مدار السنة,مخلل خيار,250,غرام,اختياري,
35,سندويش بطاطا,4,قليل,مبتدئ,مدار السنة,بهارات,8,غرام,إلزامي,
36,معكرونة بجبنة وبقدونس,4,قليل,مبتدئ,مدار السنة,معكرونة,500,غرام,إلزامي,
36,معكرونة بجبنة وبقدونس,4,قليل,مبتدئ,مدار السنة,جبنة,300,غرام,إلزامي,
36,معكرونة بجبنة وبقدونس,4,قليل,مبتدئ,مدار السنة,بقدونس,50,غرام,إلزامي,
36,معكرونة بجبنة وبقدونس,4,قليل,مبتدئ,مدار السنة,بهارات,16,غرام,إلزامي,
37,بطاطا محشية,4,قليل,متوسط,مدار السنة,بطاطا,1000,غرام,إلزامي,
37,بطاطا محشية,4,قليل,متوسط,مدار السنة,لحم مفروم,400,غرام,إلزامي,
37,بطاطا محشية,4,قليل,متوسط,مدار السنة,بصل,150,غرام,إلزامي,
37,بطاطا محشية,4,قليل,متوسط,مدار السنة,معجون بندورة,45,غرام,إلزامي,
37,بطاطا محشية,4,قليل,متوسط,مدار السنة,بهارات,12,غرام,إلزامي,
37,بطاطا محشية,4,قليل,متوسط,مدار السنة,رز,600,غرام,اختياري,
38,منزلة بيتنجان,4,طويل,متوسط,الصيف,بيتنجان,1000,غرام,إلزامي,
38,منزلة بيتنجان,4,طويل,متوسط,الصيف,بندورة,500,غرام,إلزامي,
38,منزلة بيتنجان,4,طويل,متوسط,الصيف,بصل,450,غرام,اختياري,
38,منزلة بيتنجان,4,طويل,متوسط,الصيف,لحم مفروم,400,غرام,إلزامي,
38,منزلة بيتنجان,4,طويل,متوسط,الصيف,رز,200,غرام,إلزامي,برغل
38,منزلة بيتنجان,4,طويل,متوسط,الصيف,شعيرية,50,غرام,إلزامي,
38,منزلة بيتنجان,4,طويل,متوسط,الصيف,زيت نباتي,1000,غرام,إلزامي,
39,زهرة بطحينة,4,قليل,مبتدئ,الشتاء,زهرة,1000,غرام,إلزامي,
39,زهرة بطحينة,4,قليل,مبتدئ,الشتاء,زيت نباتي,1000,غرام,إلزامي,
39,زهرة بطحينة,4,قليل,مبتدئ,الشتاء,طحينة,250,غرام,إلزامي,
39,زهرة بطحينة,4,قليل,مبتدئ,الشتاء,ليمون,300,غرام,إلزامي,
39,زهرة بطحينة,4,قليل,مبتدئ,الشتاء,ثوم,20,غرام,اختياري,
40,المقالي,4,طويل,مبتدئ,الصيف,بطاطا,1000,غرام,اختياري,
40,المقالي,4,طويل,مبتدئ,الصيف,بيتنجان,500,غرام,إلزامي,
40,المقالي,4,طويل,مبتدئ,الصيف,كوسا,500,غرام,اختياري,
41,رز بالخضار,4,قليل,مبتدئ,الصيف,رز,600,غرام,إلزامي,
41,رز بالخضار,4,قليل,مبتدئ,الصيف,بصل,150,غرام,إلزامي,
41,رز بالخضار,4,قليل,مبتدئ,الصيف,فليفلة خضرا,300,غرام,إلزامي,
41,رز بالخضار,4,قليل,مبتدئ,الصيف,جزر,200,غرام,إلزامي,
41,رز بالخضار,4,قليل,مبتدئ,الصيف,فطر,100,غرام,اختياري,
41,رز بالخضار,4,قليل,مبتدئ,الصيف,بزاليا,200,غرام,اختياري,
41,رز بالخضار,4,قليل,مبتدئ,الصيف,بهارات,16,غرام,إلزامي,
42,معكرونة بالخضار,4,قليل,مبتدئ,الصيف,معكرونة,500,غرام,إلزامي,
42,معكرونة بالخضار,4,قليل,مبتدئ,الصيف,بصل,150,غرام,اختياري,
42,معكرونة بالخضار,4,قليل,مبتدئ,الصيف,فليفلة خضرا,300,غرام,إلزامي,
42,معكرونة بالخضار,4,قليل,مبتدئ,الصيف,بندورة,300,غرام,إلزامي,
42,معكرونة بالخضار,4,قليل,مبتدئ,الصيف,بهارات,16,غرام,إلزامي,
43,أبو شلهوب (برغل بكوسا),4,قليل,مبتدئ,الصيف,برغل,400,غرام,إلزامي,
43,أبو شلهوب (برغل بكوسا),4,قليل,مبتدئ,الصيف,كوسا,1000,غرام,إلزامي,
43,أبو شلهوب (برغل بكوسا),4,قليل,مبتدئ,الصيف,لحم مفروم,200,غرام,اختياري,
44,جوانح مقلية,4,طويل,متوسط,مدار السنة,جوانح,1000,غرام,إلزامي,
44,جوانح مقلية,4,طويل,متوسط,مدار السنة,طحين,250,غرام,إلزامي,
44,جوانح مقلية,4,طويل,متوسط,مدار السنة,نشاء الذرة,24,غرام,اختياري,
44,جوانح مقلية,4,طويل,متوسط,مدار السنة,بهارات,24,غرام,إلزامي,
44,جوانح مقلية,4,طويل,متوسط,مدار السنة,زيت نباتي,1000,غرام,إلزامي,
45,سودة دجاج,4,قليل,مبتدئ,مدار السنة,سودة دجاج,1000,غرام,إلزامي,
45,سودة دجاج,4,قليل,مبتدئ,مدار السنة,بصل,300,غرام,اختياري,
45,سودة دجاج,4,قليل,مبتدئ,مدار السنة,ثوم,20,غرام,اختياري,
45,سودة دجاج,4,قليل,مبتدئ,مدار السنة,دبس رمان,20,غرام,اختياري,
46,سودة غنم,4,متوسط,متوسط,مدار السنة,سودة غنم,1000,غرام,إلزامي,
46,سودة غنم,4,متوسط,متوسط,مدار السنة,بصل,300,غرام,اختياري,
47,جوانح بالفرن,4,طويل,متوسط,مدار السنة,جوانح,1000,غرام,إلزامي,
47,جوانح بالفرن,4,طويل,متوسط,مدار السنة,ثوم,24,غرام,اختياري,
47,جوانح بالفرن,4,طويل,متوسط,مدار السنة,ليمون,50,غرام,إلزامي,
47,جوانح بالفرن,4,طويل,متوسط,مدار السنة,دبس رمان,40,غرام,اختياري,
47,جوانح بالفرن,4,طويل,متوسط,مدار السنة,بهارات,12,غرام,إلزامي,
48,ويكي (بامية بزيت),4,قليل,مبتدئ,الصيف,بامية,500,غرام,إلزامي,
48,ويكي (بامية بزيت),4,قليل,مبتدئ,الصيف,بندورة,400,غرام,إلزامي,
48,ويكي (بامية بزيت),4,قليل,مبتدئ,الصيف,زيت زيتون,100,غرام,إلزامي,
48,ويكي (بامية بزيت),4,قليل,مبتدئ,الصيف,كزبرة خضرا,50,غرام,اختياري,
48,ويكي (بامية بزيت),4,قليل,مبتدئ,الصيف,ثوم,20,غرام,اختياري,
49,سبانخ زيت,4,قليل,مبتدئ,الشتاء,سبانخ,500,غرام,إلزامي,
49,سبانخ زيت,4,قليل,مبتدئ,الشتاء,ثوم,20,غرام,اختياري,
49,سبانخ زيت,4,قليل,مبتدئ,الشتاء,زيت زيتون,100,غرام,إلزامي,
49,سبانخ زيت,4,قليل,مبتدئ,الشتاء,كزبرة خضرا,50,غرام,اختياري,
50,خبيزة,4,قليل,مبتدئ,الشتاء,خبيزة,300,غرام,إلزامي,
50,خبيزة,4,قليل,مبتدئ,الشتاء,كزبرة خضرا,50,غرام,اختياري,
50,خبيزة,4,قليل,مبتدئ,الشتاء,ثوم,20,غرام,اختياري,
51,كبة بالصينية,4,متوسط,متوسط,مدار السنة,برغل ناعم,600,غرام,إلزامي,
51,كبة بالصينية,4,متوسط,متوسط,مدار السنة,بصل,450,غرام,إلزامي,
51,كبة بالصينية,4,متوسط,متوسط,مدار السنة,لحم مفروم,500,غرام,إلزامي,دجاج
51,كبة بالصينية,4,متوسط,متوسط,مدار السنة,دبس رمان,40,غرام,إلزامي,
52,كباب مشوي,4,متوسط,متوسط,مدار السنة,لحم ناعم,1000,غرام,إلزامي,دجاج
52,كباب مشوي,4,متوسط,متوسط,مدار السنة,بقدونس,50,غرام,إلزامي,
52,كباب مشوي,4,متوسط,متوسط,مدار السنة,بصل,300,غرام,إلزامي,
52,كباب مشوي,4,متوسط,متوسط,مدار السنة,بهارات,16,غرام,إلزامي,
53,صفيحة,4,متوسط,محترف,مدار السنة,لحم ناعم,500,غرام,إلزامي,
53,صفيحة,4,متوسط,محترف,مدار السنة,طحين,375,غرام,إلزامي,عجينة
53,صفيحة,4,متوسط,محترف,مدار السنة,بصل,300,غرام,إلزامي,
53,صفيحة,4,متوسط,محترف,مدار السنة,بندورة,300,غرام,اختياري,
53,صفيحة,4,متوسط,محترف,مدار السنة,فليفلة خضرا,300,غرام,اختياري,
54,شرحات مطفاية,4,متوسط,متوسط,مدار السنة,شرحات لحم,1000,غرام,إلزامي,شرحات دجاج
54,شرحات مطفاية,4,متوسط,متوسط,مدار السنة,ليمون,400,غرام,إلزامي,
54,شرحات مطفاية,4,متوسط,متوسط,مدار السنة,ثوم,40,غرام,إلزامي,
54,شرحات مطفاية,4,متوسط,متوسط,مدار السنة,بصل,450,غرام,اختياري,
54,شرحات مطفاية,4,متوسط,متوسط,مدار السنة,بقدونس,50,غرام,اختياري,
55,أوزي,4,متوسط,متوسط,الربيع,رز,400,غرام,إلزامي,
55,أوزي,4,متوسط,متوسط,الربيع,بزاليا,500,غرام,إلزامي,
55,أوزي,4,متوسط,متوسط,الربيع,لحم مفروم,200,غرام,اختياري,
55,أوزي,4,متوسط,متوسط,الربيع,مكسرات,50,غرام,اختياري,
55,أوزي,4,متوسط,متوسط,الربيع,رقائق عجين,250,غرام,إلزامي,
56,مجدرة,4,قليل,مبتدئ,مدار السنة,برغل,300,غرام,إلزامي,رز
56,مجدرة,4,قليل,مبتدئ,مدار السنة,عدس أسود,200,غرام,إلزامي,
56,مجدرة,4,قليل,مبتدئ,مدار السنة,بصل,900,غرام,إلزامي,
56,مجدرة,4,قليل,مبتدئ,مدار السنة,زيت زيتون,100,غرام,إلزامي,
57,فروج مسحب,4,طويل,محترف,مدار السنة,دجاج,1000,غرام,إلزامي,
57,فروج مسحب,4,طويل,محترف,مدار السنة,جزر,300,غرام,اختياري,
57,فروج مسحب,4,طويل,محترف,مدار السنة,بطاطا,600,غرام,اختياري,
57,فروج مسحب,4,طويل,محترف,مدار السنة,بصل,300,غرام,اختياري,
57,فروج مسحب,4,طويل,محترف,مدار السنة,فليفلة خضرا,300,غرام,اختياري,
57,فروج مسحب,4,طويل,محترف,مدار السنة,بهارات,24,غرام,إلزامي,
57,فروج مسحب,4,طويل,محترف,مدار السنة,زيت زيتون,100,غرام,إلزامي,
57,فروج مسحب,4,طويل,محترف,مدار السنة,لبن,100,غرام,إلزامي,
